"iso","adm1","alert__year","alert__week","burn_area__ha"
"IDN",10,2007,23,393.5578875095996
"IDN",10,2017,36,108.58567275327627
"IDN",10,2002,22,461.434721451368
"IDN",10,2011,21,1275.8011684558842
"IDN",10,2007,37,149.19037212456593
"IDN",10,2009,41,149.1441254994792
"IDN",10,2003,23,81.4308949639897
"IDN",10,2019,37,881.452510018041632
"IDN",10,2019,29,108.40250515605246
"IDN",10,2017,42,54.22791679864271
"IDN",10,2009,40,67.79237776422221
"IDN",10,2013,34,108.5711668829019
"IDN",10,2010,38,27.14614049264064
"IDN",10,2006,30,67.924441990499285
"IDN",10,2004,41,40.676816932244910
"IDN",10,2018,32,81.32434627882364
"IDN",10,2002,31,13.569235319404136
"IDN",10,2017,33,54.29320648835851
"IDN",10,2009,32,121.948152702412852
"IDN",10,2007,25,637.77866438077904
"IDN",10,2006,31,67.76031094602106
"IDN",10,2004,30,190.0106367105424
"IDN",10,2006,20,13.553347136578747
"IDN",10,2001,31,81.43079793875572
"IDN",10,2012,26,13.570459415854215
"IDN",10,2007,38,27.121894009943382
"IDN",10,2015,35,325.244447726466802
"IDN",10,2009,37,325.54248390686363
"IDN",10,2002,38,27.11195230731491
"IDN",10,2014,37,95.01878838489603
"IDN",10,2008,32,230.6875065989987
"IDN",10,2012,21,40.723168203708816
"IDN",10,2006,23,2358.895652015537249
"IDN",10,2004,24,447.82421830511686
"IDN",10,2004,31,27.14465574952055
"IDN",10,2003,29,149.2728130513428
"IDN",10,2009,29,190.00653934661034
"IDN",10,2006,40,135.63409856042619
"IDN",10,2019,43,27.12784863853795
"IDN",10,2007,27,488.5087802795805
"IDN",10,2018,37,542.34667206253794
"IDN",10,2020,28,13.557977908645992
"IDN",10,2017,34,81.4400872939533
"IDN",10,2009,38,54.251616168418573
"IDN",10,2008,33,257.84604336635067
"IDN",10,2002,20,122.13975622882022
"IDN",10,2008,35,94.99452920197055
"IDN",10,2015,37,67.786230271056853
"IDN",10,2004,42,176.26604151061130
"IDN",10,2011,38,81.350938358604543
"IDN",10,2017,40,189.7993997574398
"IDN",10,2015,40,759.21513566961003
"IDN",10,2019,35,81.3270821567059
"IDN",10,2006,21,149.08712290104843
"IDN",10,2012,22,13.57167595020392
"IDN",10,2003,36,162.88257740507316
"IDN",10,2015,24,67.8229138474346
"IDN",10,2011,27,27.10271107390504
"IDN",10,2004,27,1044.9745498290258
"IDN",10,2006,34,705.1935813718135
"IDN",10,2006,36,393.183612922592054
"IDN",10,2011,28,40.65391275755592
"IDN",10,2011,19,108.57340634874376
"IDN",10,2006,42,94.87701658017504
"IDN",10,2012,39,67.80561929181756
"IDN",10,2003,38,27.146880716081384
"IDN",10,2006,35,366.12479230066798
"IDN",10,2003,28,108.5777857938821
"IDN",10,2004,22,13.571208947337073
"IDN",10,2009,24,27.14465574952055
"IDN",10,2014,36,67.8722722308845
"IDN",10,2012,36,149.24759182378192
"IDN",10,2002,19,67.8573528817402
"IDN",10,2002,36,27.112253800119845
"IDN",10,2005,23,447.8442736865122
"IDN",10,2011,30,13.551406821386403
"IDN",10,2012,40,81.381407720924925
"IDN",10,2010,39,325.5765916495402
"IDN",10,2012,35,854.900901855197075
"IDN",10,2001,30,94.99836198155025
"IDN",10,2015,39,67.798887060892566
"IDN",10,2012,19,40.720043646971206
"IDN",10,2002,35,54.231313567294016
"IDN",10,2011,20,3379.4764706309097
"IDN",10,2018,38,257.61004003695151
"IDN",10,2017,29,13.561143513708323
"IDN",10,2006,39,108.51168526958726
"IDN",10,2005,25,27.142137245476317
"IDN",10,2008,34,27.142137245472696
"IDN",10,2013,36,122.14256281040782
"IDN",10,2006,43,13.55130425251864
"IDN",10,2003,25,312.18319015768725
"IDN",10,2012,32,40.71259728779241
"IDN",10,2010,34,27.15311479032052
"IDN",10,2019,31,40.70439098486394
"IDN",10,2008,37,176.43508057727672
"IDN",10,2013,33,54.28455514015408
"IDN",10,2007,39,176.29378499197168
"IDN",10,2002,40,406.751118377839658
"IDN",10,2012,25,135.70262169390926
"IDN",10,2009,36,27.14044918875108
"IDN",10,2011,33,13.55130425251864
"IDN",10,2009,25,27.144376711292868
"IDN",10,2017,35,27.139696614517433
"IDN",10,2013,40,149.28086535201024
"IDN",10,2009,30,27.099623952167530
"IDN",10,2006,22,908.294175757784208
"IDN",10,2006,27,162.8502954373387
"IDN",10,2003,31,339.16939422629487
"IDN",10,2003,32,13.568098672742874
"IDN",10,2011,36,379.63860631419596
"IDN",10,2004,29,637.8834901670353
"IDN",10,2002,29,27.121008401346224
"IDN",10,2012,23,162.817611524897
"IDN",10,2005,21,1913.5742295797813
"IDN",10,2006,25,651.374268179533076
"IDN",10,2014,38,95.01851207660674
"IDN",10,2012,34,94.9545509707466
"IDN",10,2001,34,312.095003026139875
"IDN",10,2007,33,13.566573122171775
"IDN",10,2003,37,27.147065548165276
"IDN",10,2006,29,27.169464530866872
"IDN",10,2017,30,13.561143513708323
"IDN",10,2020,27,13.558077526923158
"IDN",10,2003,21,108.57694841069137
"IDN",10,2001,32,298.39062776379648
"IDN",10,2012,31,366.4137817927861
"IDN",10,2003,27,352.69615476820974
"IDN",10,2003,45,27.112253800119845
"IDN",10,2017,41,122.01291315299476
"IDN",10,2001,33,284.694010125676897
"IDN",10,2005,20,27.143911229906276
"IDN",10,2018,44,27.14044918874746
"IDN",10,2012,29,257.72779790586566
"IDN",10,2018,26,13.5518166497695
"IDN",10,2007,36,13.56124170099492
"IDN",10,2008,31,94.99629012043505
"IDN",10,2007,22,203.57148358486162
"IDN",10,2012,30,285.0293688146028
"IDN",10,2004,23,13.571208947337073
"IDN",10,2004,34,54.28427449095263
"IDN",10,2003,24,27.14632568276371
"IDN",10,2015,36,650.790929730221327
"IDN",10,2019,41,284.615913513588992
"IDN",10,2003,26,13.573532774082638
"IDN",10,2011,23,54.2483593548305
"IDN",10,2013,35,135.7135845986107
